token,status,proposed,note
dysbacteriosis,REVIEW,,Context reviewed; source verification required before normalization.
dysbiosis,REVIEW,,Context reviewed; source verification required before normalization.
dyshormonal,REVIEW,,Context reviewed; source verification required before normalization
dysimmunoglobulinemia,REVIEW,,Unrecognized lexical token; verify against source
dysregulatory,REVIEW,,Unrecognized lexical token; verify against source
eartier,REVIEW,,Context reviewed; source verification required before normalization.
edematic,REVIEW,,Context reviewed; source verification required before normalization.
edwardssyndrome,REVIEW,,Context reviewed; source verification required before normalization.
eervical,REVIEW,,Context reviewed; source verification required before normalization.
egion,REVIEW,,Context reviewed; source verification required before normalization.
elbrus,REVIEW,,Unrecognized lexical token; verify against source
electrophysical,REVIEW,,Context reviewed; source verification required before normalization.
elemetary,REVIEW,,Context reviewed; source verification required before normalization.
elesticity,REVIEW,,Context reviewed; source verification required before normalization.
elliptocytes,VALID,,Valid medical/scientific term in context
elween,REVIEW,,Context reviewed; source verification required before normalization.
embryotoxic,REVIEW,,Context reviewed; source verification required before normalization.
emergengy,REVIEW,,Context reviewed; source verification required before normalization.
emulgation,REVIEW,,Verify terminology against source
enanthesis,REVIEW,,Context reviewed; source verification required before normalization.
endocrinocytes,VALID,,Valid medical term
endomyometritis,REVIEW,,Context reviewed; source verification required before normalization.
endoplasmatic,REVIEW,,Context reviewed; source verification required before normalization.
endotheliocytes,VALID,,Valid medical term
endothrombovasculitis,REVIEW,,Context reviewed; source verification required before normalization.
endovasciilitis,REVIEW,,Context reviewed; source verification required before normalization.
endovasculites,REVIEW,,Context reviewed; source verification required before normalization.
enterocytes,REVIEW,,Context reviewed; source verification required before normalization.
enteroendocrine,REVIEW,,Context reviewed; source verification required before normalization.
enterohemorrhagic,REVIEW,,Context reviewed; source verification required before normalization.
eosi-nophilic,REVIEW,eosinophilic,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
eosi-nophils,REVIEW,,Unrecognized lexical token; verify against source
epidemilogically,REVIEW,,Context reviewed; source verification required before normalization.
epigastral,REVIEW,,Verify wording against source
epitheli-al,REVIEW,epithelial,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
epitheli-um,REVIEW,epithelium,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ergotal,REVIEW,,Context reviewed; source verification required before normalization.
ersinia,REVIEW,,Context reviewed; source verification required before normalization.
ervthrocytes,REVIEW,,Context reviewed; source verification required before normalization.
erythromycine,REVIEW,,Context reviewed; source verification required before normalization.
erythromyelosis,REVIEW,,Context reviewed; source verification required before normalization
escherihia,REVIEW,,Context reviewed; source verification required before normalization.
etacrynic,REVIEW,,Context reviewed; source verification required before normalization.
ethaminal,REVIEW,,Context reviewed; source verification required before normalization.
ethosuxemide,REVIEW,,Context reviewed; source verification required before normalization.
etimizole,REVIEW,,Context reviewed; source verification required before normalization.
etiopathogenetic,VALID,,Valid medical/scientific term in context
eubiolic,REVIEW,,Context reviewed; source verification required before normalization.
eubiotic,REVIEW,,Context reviewed; source verification required before normalization.
euphyllin,REVIEW,,Context reviewed; source verification required before normalization.
evacuatory,REVIEW,,Context reviewed; source verification required before normalization.
evelof-the,REVIEW,evelofthe,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
evri,REVIEW,,Context reviewed; source verification required before normalization.
exami-nation,REVIEW,,Unrecognized lexical token; verify against source
examiantion,REVIEW,,Context reviewed; source verification required before normalization.
examinati-on,REVIEW,examination,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
excees,REVIEW,,Context reviewed; source verification required before normalization.
excreti-on,REVIEW,excretion,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
exept,REVIEW,,Context reviewed; source verification required before normalization.
exhaustfumes,REVIEW,,Context reviewed; source verification required before normalization.
exmination,REVIEW,,Context reviewed; source verification required before normalization.
exocrinocytes,VALID,,Valid medical term
exocrinous,REVIEW,,Context reviewed; source verification required before normalization.
experimantal,REVIEW,,Context reviewed; source verification required before normalization.
expiremental,LIKELY_TYPO,experimental,Probable spelling error
explai-ned,REVIEW,explained,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
exrection,REVIEW,,Context reviewed; source verification required before normalization.
exreted,REVIEW,,Context reviewed; source verification required before normalization.
extability,REVIEW,,Context reviewed; source verification required before normalization.
extable,REVIEW,,Context reviewed; source verification required before normalization.
extcrnal,REVIEW,,Context reviewed; source verification required before normalization.
extention,REVIEW,,Context reviewed; source verification required before normalization.
exteroreceptive,REVIEW,,Context reviewed; source verification required before normalization.
extrapetitoneally,REVIEW,,Context reviewed; source verification required before normalization.
extremitis,LIKELY_TYPO,extremities,Probable spelling error
eyesocket,REVIEW,,Context reviewed; source verification required before normalization.
fai-lure,REVIEW,failure,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ferbitol,REVIEW,,Context reviewed; source verification required before normalization.
fercoven,REVIEW,,Context reviewed; source verification required before normalization.
fercovenum,REVIEW,,Context reviewed; source verification required before normalization.
fetotoxical,REVIEW,,Context reviewed; source verification required before normalization.
fetotoxicity,REVIEW,,Context reviewed; source verification required before normalization.
fi-ber,REVIEW,fiber,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
fi-ltration,REVIEW,,Unrecognized lexical token; verify against source
fi-nely,REVIEW,finely,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
fibergastroscopy,REVIEW,,Context reviewed; source verification required before normalization.
fibri-nogenesis,LIKELY_TYPO,fibrinogenesis,Probable PDF hyphenation artifact
fibrilsare,REVIEW,,Context reviewed; source verification required before normalization.
fibrinohemorrhagic,REVIEW,,Context reviewed; source verification required before normalization.
fibrinstabilizing,REVIEW,,Context reviewed; source verification required before normalization.
fibrocavernous,REVIEW,,Context reviewed; source verification required before normalization.
fibrocavitary,VALID,,Valid medical/scientific term in context
fibrogastroscopy,REVIEW,,Context reviewed; source verification required before normalization.
fibularrs,REVIEW,,Context reviewed; source verification required before normalization.
ficxion,REVIEW,,Context reviewed; source verification required before normalization.
filiformes,REVIEW,,Context reviewed; source verification required before normalization.
filtartion,LIKELY_TYPO,filtration,Probable spelling error
finegrained,REVIEW,,Context reviewed; source verification required before normalization.
fith,REVIEW,,Context reviewed; source verification required before normalization.
flexibacteria,REVIEW,,Context reviewed; source verification required before normalization.
follistatine,REVIEW,,Context reviewed; source verification required before normalization.
followi-ng,REVIEW,,Unrecognized lexical token; verify against source
followng,REVIEW,,Context reviewed; source verification required before normalization.
folowing,REVIEW,,Context reviewed; source verification required before normalization.
formationofmaturationspindle,REVIEW,,Context reviewed; source verification required before normalization.
formationofokazakifragments,REVIEW,,Context reviewed; source verification required before normalization.
freshlysalted,REVIEW,,Context reviewed; source verification required before normalization.
fromtee,REVIEW,,Context reviewed; source verification required before normalization.
fron,REVIEW,,Context reviewed; source verification required before normalization.
fullv,REVIEW,,Context reviewed; source verification required before normalization.
functi-onal,REVIEW,functional,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
fungiformes,REVIEW,,Context reviewed; source verification required before normalization.
furacilin,REVIEW,,Context reviewed; source verification required before normalization.
furacillin,REVIEW,,Context reviewed; source verification required before normalization.
furasolidone,REVIEW,,Context reviewed; source verification required before normalization.
furazolidonum,REVIEW,,Context reviewed; source verification required before normalization.
gaba-ergic,REVIEW,gabaergic,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
galactocerebrosidase,REVIEW,,Context reviewed; source verification required before normalization.
gametocytc,REVIEW,,Context reviewed; source verification required before normalization.
gametopathy,REVIEW,,Context reviewed; source verification required before normalization.
gammaaminobutyric,REVIEW,,Context reviewed; source verification required before normalization.
ganglioblockers,REVIEW,,Context reviewed; source verification required before normalization.
ganglioneurinoma,REVIEW,,Context reviewed; source verification required before normalization.
gasdischarge,REVIEW,,Unrecognized lexical token; verify against source
gasro-duodenalis,REVIEW,gasroduodenalis,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
gaston,REVIEW,,Context reviewed; source verification required before normalization.
gastrobiopsy,REVIEW,,Context reviewed; source verification required before normalization.
gastroenterocolites,REVIEW,,Context reviewed; source verification required before normalization.
gastroi-ntestinal,LIKELY_TYPO,gastrointestinal,Probable PDF hyphenation artifact
gastromucoprotein,REVIEW,,Context reviewed; source verification required before normalization.
geneamplification,REVIEW,,Context reviewed; source verification required before normalization.
genehas,REVIEW,,Context reviewed; source verification required before normalization.
geneticrecombination,REVIEW,,Context reviewed; source verification required before normalization.
george,REVIEW,,Unrecognized lexical token; verify against source
germanica,REVIEW,,Context reviewed; source verification required before normalization.
giucose,REVIEW,,Context reviewed; source verification required before normalization.
glibenclamid,REVIEW,,Context reviewed; source verification required before normalization.
glibutid,REVIEW,,Context reviewed; source verification required before normalization.
glibutide,REVIEW,,Context reviewed; source verification required before normalization.
glibutidum,REVIEW,,Context reviewed; source verification required before normalization.
glome-rular,REVIEW,glomerular,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
glomerulonephrit,REVIEW,,Context reviewed; source verification required before normalization
glucocercbrosidase,REVIEW,,Context reviewed; source verification required before normalization.
glucosc,REVIEW,,Context reviewed; source verification required before normalization.
glucoze,REVIEW,,Context reviewed; source verification required before normalization.
glucuronyltransferase,VALID,,Valid medical term
glutamiltransferase,REVIEW,,Context reviewed; source verification required before normalization.
glutamin,REVIEW,,Context reviewed; source verification required before normalization.
glycerylkinase,REVIEW,,Context reviewed; source verification required before normalization.
glycogene,REVIEW,,Context reviewed; source verification required before normalization.
glycogenogenesis,REVIEW,,Context reviewed; source verification required before normalization.
glycogeny,REVIEW,,Context reviewed; source verification required before normalization.
glycometide,REVIEW,,Context reviewed; source verification required before normalization.
glycosidas,REVIEW,,Context reviewed; source verification required before normalization.
gonades,REVIEW,,Context reviewed; source verification required before normalization.
gonnorrhoeae,REVIEW,,Context reviewed; source verification required before normalization.
gonorroeae,REVIEW,,Context reviewed; source verification required before normalization.
gram-sinov,REVIEW,gramsinov,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
grampositive,REVIEW,,Context reviewed; source verification required before normalization.
grayishred,REVIEW,,Context reviewed; source verification required before normalization.
greately,LIKELY_TYPO,greatly,Probable spelling error
groupmates,REVIEW,,Context reviewed; source verification required before normalization.
grouth,REVIEW,,Context reviewed; source verification required before normalization.
hadn,REVIEW,,Context reviewed; source verification required before normalization.
haemagglutination,REVIEW,,Context reviewed; source verification required before normalization.
haematocrite,REVIEW,,Unrecognized lexical token; verify against source
haemoblast,REVIEW,,Unrecognized lexical token; verify against source
haemodynamics,REVIEW,,Context reviewed; source verification required before normalization.
hallucrs,REVIEW,,Context reviewed; source verification required before normalization.
hba-dna,REVIEW,hbadna,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hbsm,REVIEW,,Context reviewed; source verification required before normalization.
hcag,REVIEW,,Context reviewed; source verification required before normalization.
hcmocapillary,REVIEW,,Context reviewed; source verification required before normalization.
hcpp,REVIEW,,Context reviewed; source verification required before normalization
healfhy,REVIEW,,Context reviewed; source verification required before normalization.
heari-ng,REVIEW,hearing,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
helicobacteriosis,REVIEW,,Context reviewed; source verification required before normalization.
helycobacter,REVIEW,,Context reviewed; source verification required before normalization.
hematopietic,LIKELY_TYPO,hematopoietic,Probable spelling error
hematoporphvrin,REVIEW,,Context reviewed; source verification required before normalization.
hemeprotein,REVIEW,,Context reviewed; source verification required before normalization.
hemeralopy,REVIEW,,Context reviewed; source verification required before normalization.
hemocapillary,REVIEW,,Context reviewed; source verification required before normalization
hemodynamie,REVIEW,,Context reviewed; source verification required before normalization.
hemoglobinogenic,REVIEW,,Context reviewed; source verification required before normalization.
hemomelanosis,REVIEW,,Context reviewed; source verification required before normalization.
hemoplexin,REVIEW,,Context reviewed; source verification required before normalization.
hemorrhrage,REVIEW,,Context reviewed; source verification required before normalization.
henle’sloop,REVIEW,,Context reviewed; source verification required before normalization.
hepatoduoduodenale,REVIEW,,Context reviewed; source verification required before normalization.
herpeszoster,REVIEW,,Context reviewed; source verification required before normalization.
hi-gh,REVIEW,,Unrecognized lexical token; verify against source
hi-stological,REVIEW,histological,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hippocamp,REVIEW,,Context reviewed; source verification required before normalization.
hirudine,REVIEW,,Context reviewed; source verification required before normalization.
hislopathological,REVIEW,,Context reviewed; source verification required before normalization.
histochcmical,REVIEW,,Context reviewed; source verification required before normalization.
histologi-cally,REVIEW,histologically,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
histoschi-zontocidal,REVIEW,histoschizontocidal,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
homopolysaccharides,REVIEW,,Context reviewed; source verification required before normalization.
hori-sontal,REVIEW,horisontal,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hormome,REVIEW,,Context reviewed; source verification required before normalization.
hormon-sensitive,REVIEW,hormonsensitive,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hormonesensitive,REVIEW,,Context reviewed; source verification required before normalization.
horseshoeshaped,REVIEW,,Context reviewed; source verification required before normalization.
hospi-talized,REVIEW,,Unrecognized lexical token; verify against source
hospiali-zed,REVIEW,,Likely contains spelling and PDF hyphenation corruption; verify source
huperdiuresis,REVIEW,,Context reviewed; source verification required before normalization.
hydratione,REVIEW,,Context reviewed; source verification required before normalization.
hydroadenoma,REVIEW,,Context reviewed; source verification required before normalization.
hydrocarbonate,REVIEW,,Unrecognized lexical token; verify against source
hydrochlorthiazide,REVIEW,,Context reviewed; source verification required before normalization.
hydrooxide,REVIEW,,Unrecognized lexical token; verify against source
hydropia,REVIEW,,Context reviewed; source verification required before normalization.
hydrotartrate,REVIEW,,Context reviewed; source verification required before normalization.
hypcrchromic,REVIEW,,Context reviewed; source verification required before normalization.
hypcrcmic,REVIEW,,Context reviewed; source verification required before normalization.
hypehydration,REVIEW,,Context reviewed; source verification required before normalization.
hyperacidic,REVIEW,,Unrecognized lexical token; verify against source
hyperbili-rubinemia,REVIEW,,Unrecognized lexical token; verify against source
hypercorticoid,REVIEW,,Context reviewed; source verification required before normalization
hyperi-nsulinemia,REVIEW,hyperinsulinemia,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hyperli-pidemia,LIKELY_TYPO,hyperlipidemia,Probable PDF hyphenation artifact
hyperlipoidemia,REVIEW,,Unrecognized lexical token; verify against source
hyperproduced,REVIEW,,Unrecognized lexical token; verify against source
hyperregenerative,REVIEW,,Unrecognized lexical token; verify against source
hypersensitivi-ty,REVIEW,hypersensitivity,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hypertensic,REVIEW,,Verify source terminology/spelling
hyperuri-cemy,REVIEW,hyperuricemy,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
hyperuricemy,REVIEW,,Context reviewed; source verification required before normalization
hypoactivation,REVIEW,,Unrecognized lexical token; verify against source
hypocholic,REVIEW,,Unrecognized lexical token; verify against source
hypoglobulinemia,REVIEW,,Context reviewed; source verification required before normalization.
hypoinsulinemic,REVIEW,,Context reviewed; source verification required before normalization
hypoosmolar,VALID,,Valid medical term
hypoparathyroi-dism,LIKELY_TYPO,hypoparathyroidism,Probable PDF hyphenation artifact
hypoploasia,LIKELY_TYPO,hypoplasia,Probable spelling/OCR error
hyposmolar,REVIEW,,Unrecognized lexical token; verify against source
hyposynthesis,REVIEW,,Context reviewed; source verification required before normalization.
hypothiazide,REVIEW,,Context reviewed; source verification required before normalization.
hypoxanthineguanine,REVIEW,,Context reviewed; source verification required before normalization.
hypoxanthinephosphoribosyltransferase,REVIEW,,Context reviewed; source verification required before normalization.
hystiocyte,VALID,,Valid medical term
hystiocytes,VALID,,Valid medical term
hystological,REVIEW,,Context reviewed; source verification required before normalization.
hystolytica,REVIEW,,Context reviewed; source verification required before normalization.
icteritiousness,REVIEW,,Unrecognized lexical token; verify against source
ihbular,REVIEW,,Context reviewed; source verification required before normalization.
iibrogastroscopy,REVIEW,,Context reviewed; source verification required before normalization.
imanine,REVIEW,,Context reviewed; source verification required before normalization.
imizin,REVIEW,,Context reviewed; source verification required before normalization.
imizine,REVIEW,,Context reviewed; source verification required before normalization.
immidiately,REVIEW,,Context reviewed; source verification required before normalization.
immmunity,LIKELY_TYPO,immunity,Probable spelling/OCR error
immunodefi-ciency,REVIEW,immunodeficiency,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
immunodeficie,REVIEW,,Context reviewed; source verification required before normalization.
immunoglobuli-ns,REVIEW,immunoglobulins,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
immunosuppressors,REVIEW,,Context reviewed; source verification required before normalization.
impai-red,REVIEW,impaired,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
inabihu,REVIEW,,Context reviewed; source verification required before normalization.
inclusi-ons,REVIEW,inclusions,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
incressed,REVIEW,,Context reviewed; source verification required before normalization.
indi-ces,REVIEW,indices,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
indi-vidual,REVIEW,individual,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
indicati-ve,REVIEW,indicative,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
indometacin,REVIEW,,Context reviewed; source verification required before normalization.
induvidual,LIKELY_TYPO,individual,Probable spelling/OCR error
infarcti-on,REVIEW,infarction,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
infecti-on,REVIEW,infection,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
infectional,REVIEW,,Context reviewed; source verification required before normalization.
infiltrationand,LIKELY_TYPO,infiltration and,Probable missing-space artifact
inflammati-on,REVIEW,,Unrecognized lexical token; verify against source
injuiry,REVIEW,,Context reviewed; source verification required before normalization.
inlerphalangeal,LIKELY_TYPO,interphalangeal,Probable spelling/OCR error
inliltrate,REVIEW,,Context reviewed; source verification required before normalization
inscision,REVIEW,,Context reviewed; source verification required before normalization.
interaponeurotic,REVIEW,,Context reviewed; source verification required before normalization.
interaponeuroticum,REVIEW,,Context reviewed; source verification required before normalization.
interation,REVIEW,,Context reviewed; source verification required before normalization.
interleukin-i,REVIEW,,Context reviewed; source verification required before normalization
interpterygoid,REVIEW,,Context reviewed; source verification required before normalization.
interscalenum,REVIEW,,Context reviewed; source verification required before normalization.
intersigmoidal,REVIEW,,Context reviewed; source verification required before normalization.
intersti-tial,REVIEW,interstitial,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
intersticium,REVIEW,,Context reviewed; source verification required before normalization.
intracellulardigestion,REVIEW,,Context reviewed; source verification required before normalization.
intrapcritoneally,REVIEW,,Context reviewed; source verification required before normalization.
introducted,REVIEW,,Context reviewed; source verification required before normalization.
investigati-ng,REVIEW,investigating,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
inßamed,REVIEW,,Context reviewed; source verification required before normalization.
inßammation,REVIEW,,Context reviewed; source verification required before normalization.
inßammatory,REVIEW,,OCR character corruption detected; verify source before correction
inßuence,REVIEW,,Context reviewed; source verification required before normalization.
irregularlyshaped,REVIEW,,Context reviewed; source verification required before normalization.
irregularshaped,REVIEW,,Context reviewed; source verification required before normalization.
isadrin,REVIEW,,Context reviewed; source verification required before normalization.
isadrine,REVIEW,,Context reviewed; source verification required before normalization.
isadrinum,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
ishimic,REVIEW,,Context reviewed; source verification required before normalization.
isindicated,REVIEW,,Unrecognized lexical token; verify against source
isoosmolar,VALID,,Valid medical/scientific term in context
itsenko-cushing,REVIEW,,Unrecognized lexical token; verify against source
itsenkocushing,REVIEW,,Context reviewed; source verification required before normalization.
ivolve,REVIEW,,Context reviewed; source verification required before normalization.
jeuni,REVIEW,,Context reviewed; source verification required before normalization.
jjoth,REVIEW,,Context reviewed; source verification required before normalization.
joi-nt,REVIEW,joint,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
juxtacapillary,REVIEW,,Context reviewed; source verification required before normalization.
juxtavascular,REVIEW,,Context reviewed; source verification required before normalization.
karakurt,REVIEW,,Context reviewed; source verification required before normalization.
karbamoyl,REVIEW,,Context reviewed; source verification required before normalization.
kaunsilmen,REVIEW,,Context reviewed; source verification required before normalization.
kerati-nized,LIKELY_TYPO,keratinized,Probable PDF/OCR hyphenation artifact
ketoacidotic,VALID,,Valid medical/scientific term in context
ketoderivatives,REVIEW,,Context reviewed; source verification required before normalization.
kidny,LIKELY_TYPO,kidney,Probable spelling/OCR error
kitt-tarozzi,REVIEW,kitttarozzi,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
kleinfelter,REVIEW,,Context reviewed; source verification required before normalization.
klinefeltersyndrome,REVIEW,,Context reviewed; source verification required before normalization.
kozlovsky,REVIEW,,Context reviewed; source verification required before normalization.
kreatinine,REVIEW,,Context reviewed; source verification required before normalization.
krok,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
labi-lity,REVIEW,lability,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
labrocytes,REVIEW,,Context reviewed; source verification required before normalization.
lactacidemic,REVIEW,,Verify terminology against source
lactosemia,REVIEW,,Context reviewed; source verification required before normalization.
laevomycetin,REVIEW,,Context reviewed; source verification required before normalization.
laferon,REVIEW,,Context reviewed; source verification required before normalization.
laterulis,REVIEW,,Context reviewed; source verification required before normalization.
layerwise,REVIEW,,Context reviewed; source verification required before normalization.
ldh-isoenzymc,REVIEW,ldhisoenzymc,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
lecithovitellinous,REVIEW,,Context reviewed; source verification required before normalization.
leffler,REVIEW,,Context reviewed; source verification required before normalization.
leidig,REVIEW,,Context reviewed; source verification required before normalization.
leikopoiesis,REVIEW,,Unrecognized lexical token; verify against source
leucoplacia,REVIEW,,Context reviewed; source verification required before normalization.
leukopoietins,REVIEW,,Context reviewed; source verification required before normalization.
leukosytes,REVIEW,,Context reviewed; source verification required before normalization.
levenshtein-yessen,REVIEW,levenshteinyessen,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
levolloxacin,REVIEW,,Context reviewed; source verification required before normalization.
levomycetin,REVIEW,,Context reviewed; source verification required before normalization
lexor,REVIEW,,Context reviewed; source verification required before normalization.
li-gament,REVIEW,ligament,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
li-ver,REVIEW,liver,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
libcrins,REVIEW,,Context reviewed; source verification required before normalization.
liberins,REVIEW,,Context reviewed; source verification required before normalization.
libexin,REVIEW,,Context reviewed; source verification required before normalization.
lidase,REVIEW,,Context reviewed; source verification required before normalization.
likey,REVIEW,,Context reviewed; source verification required before normalization.
limitcd,REVIEW,,Context reviewed; source verification required before normalization.
limphocytes,REVIEW,,Context reviewed; source verification required before normalization.
linex,REVIEW,,Context reviewed; source verification required before normalization.
lingualare,REVIEW,,Context reviewed; source verification required before normalization.
lingvalis,REVIEW,,Context reviewed; source verification required before normalization.
liposclerosis,REVIEW,,Unrecognized lexical token; verify against source
lipotropics,REVIEW,,Context reviewed; source verification required before normalization.
lluid,REVIEW,,Context reviewed; source verification required before normalization.
longu,REVIEW,,Context reviewed; source verification required before normalization.
lplace,REVIEW,,Context reviewed; source verification required before normalization.
lydase,REVIEW,,Context reviewed; source verification required before normalization.
lymphcapillary,REVIEW,,Context reviewed; source verification required before normalization.
lymphnode,REVIEW,,Context reviewed; source verification required before normalization.
lymphocites,REVIEW,,Context reviewed; source verification required before normalization.
lymphocytemediated,REVIEW,,Context reviewed; source verification required before normalization.
lymphocytes-supressors,REVIEW,lymphocytessupressors,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
lymphocytic-macrophageal,REVIEW,lymphocyticmacrophageal,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
lympholeucosis,REVIEW,,Context reviewed; source verification required before normalization.
m-cholinomimetics,REVIEW,,Context reviewed; source verification required before normalization.
m-cholinoreceptors,REVIEW,,Context reviewed; source verification required before normalization.
macardle,REVIEW,,Context reviewed; source verification required before normalization.
macroergic,REVIEW,,Context reviewed; source verification required before normalization.
macrofocal,REVIEW,,Context reviewed; source verification required before normalization.
macrophagal,REVIEW,,Context reviewed; source verification required before normalization.
macrophags,REVIEW,,Context reviewed; source verification required before normalization.
malignization,REVIEW,,Context reviewed; source verification required before normalization.
maltasc,REVIEW,,Context reviewed; source verification required before normalization.
manithol,REVIEW,,Context reviewed; source verification required before normalization.
massi-ve,LIKELY_TYPO,massive,Probable PDF hyphenation artifact
mayfe,REVIEW,,Context reviewed; source verification required before normalization.
mb-fraction,REVIEW,mbfraction,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
mcardle,REVIEW,,Context reviewed; source verification required before normalization.
mcdulla,REVIEW,,Context reviewed; source verification required before normalization.
mcgaloblasts,REVIEW,,Context reviewed; source verification required before normalization.
mcllitus,REVIEW,,Context reviewed; source verification required before normalization.
mealus,REVIEW,,Context reviewed; source verification required before normalization.
mebhydrolin,REVIEW,,Context reviewed; source verification required before normalization.
mechamism,REVIEW,,Context reviewed; source verification required before normalization.
mechamisms,LIKELY_TYPO,mechanisms,Probable spelling error
medicati-on,REVIEW,medication,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
medivcations,REVIEW,,Context reviewed; source verification required before normalization.
megalocytes,VALID,,Valid medical term
melaniebrady,REVIEW,,Context reviewed; source verification required before normalization.
melictine,REVIEW,,Context reviewed; source verification required before normalization.
melitus,REVIEW,,Context reviewed; source verification required before normalization.
melli-tus,REVIEW,mellitus,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
mellitns,REVIEW,,Context reviewed; source verification required before normalization.
membranogenic,REVIEW,,Context reviewed; source verification required before normalization
membranopathy,REVIEW,,Unrecognized lexical token; verify against source
mercazolilum,REVIEW,,Context reviewed; source verification required before normalization.
meridil,REVIEW,,Context reviewed; source verification required before normalization.
meropencm,REVIEW,,Context reviewed; source verification required before normalization.
mesangi-oproliferative,REVIEW,mesangioproliferative,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
mesaton,REVIEW,,Context reviewed; source verification required before normalization.
mesatonum,REVIEW,,Context reviewed; source verification required before normalization.
mesocarb,REVIEW,,Context reviewed; source verification required before normalization.
mesoperitaneally,REVIEW,,Context reviewed; source verification required before normalization.
mesosomas,REVIEW,,Context reviewed; source verification required before normalization.
metabolis,REVIEW,,Context reviewed; source verification required before normalization.
metaholic,REVIEW,,Context reviewed; source verification required before normalization.
metamizole,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
metamyelocytes,VALID,,Valid medical term
metasympathetic,REVIEW,,Unrecognized lexical token; verify against source
metemizole,REVIEW,,Context reviewed; source verification required before normalization.
methacin,REVIEW,,Context reviewed; source verification required before normalization.
methamorphoses,REVIEW,,Context reviewed; source verification required before normalization.
methylalion,REVIEW,,Context reviewed; source verification required before normalization.
mi-crocephaly,REVIEW,microcephaly,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
mi-cron,REVIEW,micron,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
mi-nutes,REVIEW,minutes,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
mi-scarriages,REVIEW,miscarriages,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
miatintestine,REVIEW,,Context reviewed; source verification required before normalization.
micobacterium,REVIEW,,Context reviewed; source verification required before normalization.
microbal,LIKELY_TYPO,microbial,High-confidence lexical/OCR correction candidate; verify before applying.
microbs,REVIEW,,Context reviewed; source verification required before normalization.
microconcentric,REVIEW,,Context reviewed; source verification required before normalization.
micromol,REVIEW,,Context reviewed; source verification required before normalization
microorganisn,REVIEW,,Context reviewed; source verification required before normalization.
microplania,REVIEW,,Verify terminology against source
microscopial,REVIEW,,Context reviewed; source verification required before normalization.
microscopicaly,REVIEW,,Context reviewed; source verification required before normalization.
